name,location,rooms,area,floor,type,price
Dezvoltator Central Address Residence - APARTAMENT 3 CAMERE,"Bucuresti, Sector 5, zona Parcul Carol",3,69.7, 8/11,Dec.,111.520
Dezvoltator Apartament 3 camere Lux Oferta Limitata (cu Buncar subteran)- Finalizare 04.2023,"Bucuresti, Sector 1, zona Herăstrău (Herastrau)",3,146, 1/3,Dec.,285.000
Dezvoltator Central Address Residence - APARTAMENT 2 CAMERE,"Bucuresti, Sector 5, zona Parcul Carol",2,49.7, 2/11, 2/11,79.520
"3 camere, bine compartimentat, spatios, etaj 4, incalzire pardosela, ASTORIUM","Bucuresti, zona Theodor Pallady (Titan)",3,89, 4/11,Dec.,125.109
"Dezvoltator apartament 3 cam, 95 mp utili-1 min metrou Mihai Bravu","Bucuresti, Sector 3, zona Mihai Bravu",3,80, 7/16,Dec.,161.500
***MTM Pipera Residence***  OMV Pipera - Penthouse 3 camere vedere spectaculoasa,"Bucuresti, zona Pipera",3,177.75, 5/5,Dec.,275.900
***MTM Pipera Residence***  OMV Pipera - Penthouse 4 camere - CEL MAI BUN PRET !,"Bucuresti, zona Pipera",4,160.03, 5/5,Dec.,336.500
Becali Imobiliare *MTM Pipera Residence* OMV Pipera-Penthouse 3 camere deosebite,"Bucuresti, zona Pipera",3,157.48, 5/5,Dec.,244.000
Becali Imobiliare *MTM Pipera Residence* Penthouse deosebit - Pret special,"Bucuresti, zona Pipera",3,93.78, 5/5,Dec.,206.000
"Dezvoltator Ultimele apartamente în noul ansamblu Residence5 Pipera, la pret special","Bucuresti, zona Pipera",3,105.6, 4/7,Dec.,177.800
"Loc parcare CADOU in Ivory Residence - apartament 2 camere, direct dezvoltator","Bucuresti, Sector 1, zona Pipera",2,56.36,Parter/7,Dec.,93.000
Apartament cu 2 camere mobilat - Militari Residence,"Bucuresti, Sector 6, zona Militari",2,53, 1/7,Dec.,59.500
"Dezvoltator Apartament, 2 camere, decomandat, finalizat la cheie, zona metrou 1 decembrie","Bucuresti, Sector 3, zona Titan",2,63.6,Mansarda/2,Dec.,75.000
Dezvoltator PROMO! Mutare imediata - bloc finalizat [Metrou Nicolae Teclu-7 MINUTE],"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,64, 3/8,Dec.,72.200
Dezvoltator Apartament 2 camere MUTARE Rapida langa METROU la 50M,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,45.55, 6/11,Dec.,82.000
Dezvoltator Rezervelor 60.ro View Residence Militari DIRECT DEZVOLTATOR Langa Ballroom,"Bucuresti, Sector 6, zona Militari",o,29, 4/7,Dec.,32.100
